Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact,State
Alps Hospital (Max Hospital),"Block B, Sushant Lok Phase-1,Next To Park Plaza Hotel",Unknown,Government,9546808827,Nagaland
Altec Laser & Superspeciality Hospital,B-2 Ranjit Avenue Amritsar,Available,Government,9373647144,Karnataka
Altius Healthcare Pvt Ltd,"A-6, Pushpanjali Enclave,Pitampurapithampura New Delhi","Few Left, Book Now",Private,9770221981,Delhi
Altius Healthcare Pvt Ltd,"#1,Gulshan Park, Main Rohtak Road, Mangloi-110041",Unknown,Government,9816120521,Punjab
Alva Hospital Pvt Ltd,"74/A2, Meenkarai Road,Pollachi Coimbatore",Available,Government,9613944348,Kashmir
Amala Cancer Hospital & Research Centre,"Amalanagar, Trissur,Kerala-680555.",Unknown,Government,9778644400,Kerala
Amar Leela Hospital (P) Ltd,"B-1/6, Janak Puri,Main Najafgarh Roadmain Najafgarh Road,",Unknown,Government,9100691043,Bihar
Amar Medical & Research Centre,"Kiran Path,Mansarover",Unknown,Government,9892250075,Chhattisgarh
Amar Orthopaedic Hospital,"13-2-12, 1St Line Gunturuvari Thota, Guntur-522001",Unknown,Government,9405637296,Uttar Pradesh
Amaravathi Hospital,"#74, Ramanujam Nagar, Kovai Road, Karur, Tamilnadu.",Unknown,Government,9632019988,Haryana
Amaravathi Institute Of Medical Sciences Pvt Ltd,"Old Club Road, Kothapeta.Oldclub Road Guntur",Unknown,Government,9039132663,Uttarakhand
Amarawati Hospital,"Saraswati Enclave Near Power House, Opp. Sec. 10A, Gurgaon-122001, Haryana","Few Left, Book Now",Private,9029883075,Haryana
Amardeep Eye Care,"Tc 5/608, Gnp.2, Nalini Vilas, Thiruvananthapuram, Kerala",Unknown,Government,9833384966,Kerala
Amardeep Nursing Home,"101 Ratna Tarang, Old Nagardas Road, Andheri (E)Old Nagardas Road,Andheri (E)","Few Left, Book Now",Private,9261325370,Delhi
Ambaa Hospitals,"#9-1-29/23,Opp To Pratap Theatre,Lunger House",Unknown,Government,9449435424,Madhya Pradesh
Ambay Hospital,"1, Lajpat Nagar, Near St. Thomas School.",Unknown,Government,9758705687,Delhi
Ambika Hospital,"Murarji Peth, Solapur-413002.",Unknown,Government,9314151248,Himachal Pradesh
Amee Deep Hospital,"Gf-12, Narsinhadham Complex, Opp Sangam Bus Stop, Harni Road.",Unknown,Government,9570234672,Gujarat
American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.),"No. 1-111/4/B/104, Flat No. B-104, Kondapur, Kothaguda Post, Hyderabad, Andhra Pradesh","Few Left, Book Now",Private,9266972501,Andhra Pradesh
Amijeet Maternity Hospital,"A/4, Shantram Complex, Near Nirnaynagar Garnala.",Unknown,Government,9539143638,Gujarat
Amin Maternity And Nursing Home,"17, Manipushp Society, Opp:Sarathi-2, B/H Goyal Intercitynr. Surdhara Circle",Unknown,Government,9659346858,Arunachal Pradesh
Amit Hospital,"Canal Street, Near Radhakrishna & Kuthari Temples Street,Berhampur",Unknown,Government,9876299747,Chhattisgarh
Amit Jaggi Memorial Hospital,"Sector-1, Vibhav Nagar,Agra-282001.",Limited Seats,Municipal,9818962412,Haryana
Amit Nursing Home,"A-3 Manak Vihar Ext,Tihar,Tihar",Unknown,Government,9897599421,Maharashtra
Amma Children'S Hospital,"No.137-7-109/D, Old Club Road, Gunturvari Thota, Guntur-522001",Unknown,Government,9126475262,Tamil Nadu
Amma Hospital,"9-64-2,Syed Gulab Street,Kothapet",Unknown,Government,9433630949,Andhra Pradesh
Amma Hospital,"32/515,Near Sri Rama Temple",Unknown,Government,9875329839,Maharashtra
Amma Hospital,"# 1, Sowrastra Nagar7Th Street, Chennai","Few Left, Book Now",Private,9912457379,Arunachal Pradesh
Amma Hospital,"Bangalore Road, Hosur Town","Few Left, Book Now",Private,9929507452,Jammu
Ammayi Eye Hospital,"New # 80, 7Th Avenue, Ashoknagar, Chennai-600083","Few Left, Book Now",Private,9688469327,Madhya Pradesh
Amri Hospitals Ltd,"Jc 16 & 17, Salt Lake City, Sector - Iii, Annexe Build. Kb 24, Salt Lake City, Sector - Iii, Kolkata",Available,Government,9067457173,Himachal Pradesh
Amri Medical Center,"97A, Southern Avenue, Opp To Lake Stadium, Kolkata-700029",Available,Government,9896028944,Telangana
Amrik Nethralaya,"#346, Hrbr 1St Kalyan Nagar,4Th Cross, 7Th B Main.","Few Left, Book Now",Government,9828270822,Uttar Pradesh
Amrit Medicare Pvt Ltd,"No.310,Mint Street,Near Sowcarpet, Chennai-600079","Few Left, Book Now",Private,9734999680,Mizoram
Amritdhara Hospital Pvt Ltd,"Chaura Bazar,Near City Police Station",Unknown,Government,9227389448,Meghalaya
Amritsar Hospital,100 Ft Road East Mohan Nagar,Unknown,Government,9427854186,Maharashtra
Amrut Hospital & Endoscopy Clinic,"Dr. Rajendra Prasad Road, Tilak Nagar, Dombivali(E), Thane, Maharashtra","Few Left, Book Now",Private,9238282371,Maharashtra
Amruth Hospital,"#1643, Opp:K.E.B.Office, Vidyarthi Bhavan, Davangere",Unknown,Government,9632414053,Tripura
Amrutha Heart Hospital,60 Feet Road Satyanarayanapuramsatyanarayanpuram,Unknown,Government,9476755982,Jammu
Amrutha Hospital,# 1 Near Water Tank Jakkur Main Road Amruthahalli Bangalore 560092,"Few Left, Book Now",Private,9135284291,Punjab
Amrutha Nursing Home,"3-3-168,Savaran Street,Besides Civil Hospital,Karimnagar",Unknown,Government,9305236004,Odisha
Amrutha Nursing Home Private Limited,"D.No.10-7-85,Kailash Nagar,Gajuwaka.Gajuwaka",Unknown,Government,9717814687,Haryana
Amudha Poly Clinic And Hospital,"101,Athani Road,Sathyamangalam,Erode",Unknown,Government,9275088453,Madhya Pradesh
Amulya Jyoti Eye Foundation,"#105,Manoharpukur Road,",Unknown,Government,9697120373,Andhra Pradesh
Amulya Nursing Home,"Guntur Road, Narasaraopet.",Unknown,Government,9734927551,Haryana
Anadiyil Hospital,"Thekkummood Junction, Trivandrm.",Unknown,Government,9291279538,Meghalaya
Anamay Eye Hospital,Off.C.G.Road Nr President Hotel Opp. Mahalya Builldingnavrangpura,Unknown,Government,9147544291,Uttarakhand
Anamaya Nursing Home,"Sn48/1B/5-Gokulnagar,Katraj Kondhwa Road,Kondhawa Budruk",Unknown,Government,9328342516,West Bengal
Anand Eye Institute Private Limited,"4Th Floor,Rata Tycoon,Tarnaka",Unknown,Government,9654366757,Sikkim
Anand Health Care Ltd,"21,Community Centre, Preet Viharpreet Vihar",Unknown,Government,9111378817,Uttar Pradesh
Anand Hospital,"B-52, New Krishna Park, Dholi Piao, Vikas Puri.",Unknown,Government,9112098932,Delhi
Anand Hospital,"11/17 Kasturba Gandhi Marg , Up, Allahabad Muir Road",Unknown,Government,9038319530,Sikkim
Anand Hospital,"201, Kamaraj Salai,Manali,Chennaimanali","Few Left, Book Now",Private,9834630437,Himachal Pradesh
Anand Hospital,"Nagar Road, Near S.T Stand,Ahemdnagar",Unknown,Government,9589682209,Maharashtra
Anand Hospital,"Shrikrishnapalace,Sn 136,Near Malwadi Police Station Warje,Malwadi",Unknown,Government,9679105588,Gujarat
Anand Hospital,"Balaji Tower,Mahatma Phule Chowke,Chakan",Unknown,Government,9537317230,Uttar Pradesh
Anand Hospital,"Sector-26,Plot 113, Hutatma Chowk Pradhikaran, Nigdi Pune-411044","Few Left, Book Now",Private,9344567682,Madhya Pradesh
Anand Hospital & Eye Centre,"21, Bharat Mata Lane, Jamna Lal Bajaj Marg, C-Scheme, Jaipur-302001",Limited Seats,Municipal,9676075364,Kashmir
Anand Hospital & Navdeep Eye Centre,"No.105,Adarsh Nagar Near Head Post Office,",Unknown,Government,9285709560,Kashmir
Anand Hospital & Research Centre Pvt Ltd,"7, Sindhu Nagar, Bhanwarkua Main Road",Unknown,Government,9998593703,Kerala
Anand Hospital (Multispeciality),"Mukeriganj, Azamgarh, Uttar Pradesh",Unknown,Government,9771859869,Uttar Pradesh
Anand Hospitals,"#97/54,Jg Nagar,2Nd Street,60 Feet Road,",Unknown,Government,9952534482,Mizoram
Anand Maternity & Nursing Home,"Saregram Complex, New Link Rd,Dahison (E), Mumbai-400068.","Few Left, Book Now",Private,9950124061,Kashmir
Anand Medical Centre,"# 171, Sector 56, Near Kendriya Vihar",Unknown,Government,9612841983,Karnataka
Anand Medical Foundation Subudh Hospital,"145,Kothrod Near Shivaji Statue",Unknown,Government,9026663517,Andhra Pradesh
Anand Multispeciality Hospital,"Shubh Complex, Shahibuy, Near Rajsthan Hosptial.",Unknown,Government,9713100158,Punjab
Anand Multispeciality Hospital,"N.H.8,Hirawati",Unknown,Government,9695873234,Puducherry
Anand Nirogdham Hospital Pvt Ltd,"#A,1 Damodar Colony,Garh Road,",Unknown,Government,9136165859,Himachal Pradesh
Anand Nursing Home,"Kf-113, New Kavi Nagar.",Unknown,Government,9083132728,Telangana
Anand Nursing Home,"#1758 B/1, Sakoli Corner, K Ward.",Unknown,Government,9599597718,Telangana
Anand Nursing Home,"Divya Sarjan, 1St Floor, 90 Ft Road, Ganesh Chowk,Charkop,Kandivali West",Unknown,Government,9277847857,Chhattisgarh
Anand Surgical Hospital Ltd.,"5, Janta Chambers, Nr,Saijpur Towernr. Saijpur Tower",Unknown,Government,9250412939,Jharkhand
Anandaloke Hospital & Neurosciences Centre,"2Nd Mile,Sevoke Road,",Unknown,Government,9617517286,Sikkim
Anande Hospital,"Near Old R T O Office,Ramnagar, Chandrapur,Near Old R.T.O. Office.",Unknown,Government,9641290706,Andhra Pradesh
Anandlok Hospital,"Dk-713,Salt Lake City, Sector-Ii, Kolkata.",Available,Government,9097683957,Sikkim
Anandpara Surgical & General Hospital,"Iqbal House, Rani Sati Marg Off.Pandit Socicitor Lane, Malad (East)Malad (E), Mumbai - 97","Few Left, Book Now",Private,9036943030,Jammu
Anandrishiji Hospital & Medical Research Centre,"124, Anand Rishiji Marg",Unknown,Government,9837721356,Arunachal Pradesh
Anant Nursing Home Pvt Ltd,"Madan Mahal Station Road,Gate #3,Wright Town",Unknown,Government,9510865681,Madhya Pradesh
Anant Shree Hospital,"Indrapuri A- Sector, Opp. Bhel Gate # 1,Indrapuri",Unknown,Government,9681472071,Telangana
Anantha Lakshmi Kidney & Multispeciality Hospital,"H.No.3-9-10/4, Opp To Ramanathapur School, Ramanathapur, Hyderabad-500013","Few Left, Book Now",Private,9768020112,Uttar Pradesh
Ananthapuri Hospital & Research Institute,"Tc 31/1424, Nh By Pass Road,Chacka ,Thirvvananthapuram,Kerala",Unknown,Government,9823438677,Kerala
Ananya Hospital Pvt Ltd,"389/44, 19Th Main,Rajajinagarrajajinagar",Unknown,Government,9701407158,Telangana
Anasuya Institute Of Medical Sciences,"16/2/142,Hotel Venkataramana Lane,Pogathota",Unknown,Government,9764726811,Andhra Pradesh
Anbu Hospital,"No.150/1,Kamarajar Salai,",Unknown,Government,9454119236,Delhi
Anbu Hospital,"# 4,5, Lakshmivilas Street, Kumbakonam",Unknown,Government,9172281630,Arunachal Pradesh
Andhra Hospitals,"C.V.R Complex, Prakasamroad, Vijayawada",Unknown,Government,9561895763,Tripura
Andhra Mahila Sabha,"No.11 & 12, Dr.Durgabaideshmukh Road, R.A.Puram,",Unknown,Government,9438996299,Madhya Pradesh
Aneja Hospital & Nursing Home,"# 48, Mahesh Nagar Opp Water Tank",Unknown,Government,9982136128,Andhra Pradesh
Aneri Surgical & Neurosurgical Hospital,"1St Floor, Swami Narayan Complex.",Unknown,Government,9672121539,Meghalaya
Angel Maternity & Nursing Home,"No.3,Komedan Bagan Lane,Near Jora Girja Corporation ,Garage On Ajc Bose Road,",Unknown,Government,9417062928,Maharashtra
Anil Baghi Hospital,"Anil Baghi Road,Ferozepur City",Unknown,Government,9771233882,Mizoram
Anil Eye Hospital,"1St Floor, Krishna Smirti, Phadke Road, Dombivli","Few Left, Book Now",Government,9961199825,Madhya Pradesh
Anitha Nursing Home,"No 9-1/3, Sri Ramanagara Colony, Near Uppal Bus Depot, Hyderabad-500098","Few Left, Book Now",Private,9621395975,Puducherry
Anjakha Hospital,"#23,Medavakkam Main Road,Madipakkam",Unknown,Government,9323529606,Goa
Anjali Hospital,"Desai Vago,Nadiad",Unknown,Government,9194866518,Karnataka
Anjali Hospital,#568-Dr.Ambedkar Chowk Opp Delux Cinema Pimpri,Unknown,Government,9449397458,Chhattisgarh
Ankith Multispeciality Hospitals,"Opp Bus Stand,Ibrahimpatnam,Sagar Road",Limited Seats,Municipal,9280101545,Maharashtra
Ankur Hospital,"1St Floor, Kalpatoru,Mathura Das Road,Kandivli (W)Mathuradas Rd, Kandivli (W)",Unknown,Government,9639358255,Puducherry
Ankur Maternity And Surgical Nursing Home,"Shree Vijay Chs Ltd,Kanjur Marg East",Unknown,Government,9998225804,Goa
Ankur Nursing Home,"Mohan Plaza, Main Road, Opposite Section, Ulhasnagar, Thane-421501","Few Left, Book Now",Private,9305383456,Sikkim
Ankur Nursing Home & Pain Clinic,"Ashirwad Complex Chindhwad Main Road, Bus Stop Kalewadi Road,Chinchwad",Unknown,Government,9260971089,Jammu
Ankura Children'S Hospital ( A Unit Of Ankura Medical & Research Centre Pvt Ltd ),"Near Geethejali School, 7Th Phase, Kphb Kukatpalli, Hyderabad","Few Left, Book Now",Private,9352538156,Jammu
Anmmol Orthovision,"101-102,Manisha Heights,Balrajeshwar Road,Mulund West",Unknown,Government,9316078850,West Bengal
Annadaneshwara Hospital,"Hahe Road, Sindhanur",Unknown,Government,9620273230,Puducherry
Annai Ent And Head & Neck Care Centre,"#12D,Palaniappa Street,Perundurai Road",Unknown,Government,9092842910,Jammu
Annai Hospital,"5-82/1, Kurumbanai Road, Karungal, Kanyakumari, Tamilnadu",Unknown,Government,9835596536,Mizoram
Annai Velankanni Nursing Home,"Post Box No.107, Murugan Kurichi, Palayamkottai.",Unknown,Government,9709511632,Manipur
Annamalai Hospital,"# 27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",Unknown,Government,9532921603,Kashmir
Annammal Hospital,Kuzhithurai,Unknown,Government,9670301952,Goa
Annapoorna Hospital,"47-9-32, 3Rd Lane, Dwarakanagar, Visakahpatnam-530016",Limited Seats,Municipal,9201710303,Uttar Pradesh
Annapoorna Orthopaedic & Speciality Hospital,"#953, Kantaraj Urs Road, Lakshmipuram, Mysore-570004",Available,Government,9720926885,Tripura
Annapurna Hospital,"K.M. Road, Chikmagalur",Unknown,Government,9656044197,Tamil Nadu
Annapurna Hospital,"Mina Bazar,Kapadvanj City,",Unknown,Government,9801362827,Haryana
Annapurna Laparoscopic Surgery And Trauma Care Center,"Plot No-2764/4805, Nageswar Tangi, Old Town, Bhubaneswar, Khurdur, Orissa",Available,Government,9262925166,Chhattisgarh
Annapurna Multi Speciality Hospital,"Sri Krishnadevaraya Marga-Gangavathi, Koppal Dist, Karnataka-583227, Near Bus Stand",Unknown,Government,9557594735,Karnataka
Annapurna Multispeciality Hospital,"10-165, Eluru Road, Gudivada, Krishna-521301, Opp.Bank Of Baroda",Unknown,Government,9873684768,Goa
Ano Surge Hospital & Research Centre,"Doctor House,Opp Shantaba Hall,Bus Station Road",Unknown,Government,9076010468,Delhi
Ansari Hospital,"Rz-20F/B, Street No-6, Sagarpur Main.",Unknown,Government,9069083788,Uttar Pradesh
Ansuya General Hospital,"#4,Daxini Society,Maninagar",Unknown,Government,9110292852,Kerala
Anu Hospital,"#69,Trichy Road,Very Near To Railway Station",Unknown,Government,9141967216,Rajasthan
Anu Hospitals,"33-18-1,Chalasani Venkata Krishwaiah Street Near Puspha Hotel, Krishna Suryaraopet",Unknown,Government,9646720473,Haryana
Anuchandra Accident Hospital,"Geetai Building, Cinema Road,",Unknown,Government,9373104776,Chhattisgarh
Anugraha Hospital,"No 18/2,1St Cross,M.C. Layout,Vijayanagar",Unknown,Government,9591409834,Uttarakhand
Anugraha Hospital,"# 2698,2Nd Main,2Nd Cross,M.C. B Block",Unknown,Government,9666294223,Bihar
Anugraha Nursing Home,"No 2,Vinayaka Circle, Palace Guttahalli Main Road, Bangalore-560003Circle Palace Guttahalli Main","Few Left, Book Now",Private,9292236752,Andhra Pradesh
Anugrahaa Hospital,"55/3A, Govindana Setty Palya Road Konappana Agrahara Electronic City Infosysbangalore South Taluk","Few Left, Book Now",Private,9349078437,West Bengal
Anuj Hospital,"#2159 & 2161, Sector-16,Faridabad-121002.","Few Left, Book Now",Private,9242778543,Manipur
Anukrushna Hospitals,"10-191/2, Vasanthapuri Colonymalkajgiri",Unknown,Government,9110623219,Madhya Pradesh
Anupam Jyoti Medical Centre,"C-38A, Rajat Vihar, Sector-62.",Unknown,Government,9170522392,Jharkhand
Anupama Hospital,"16-31/494 & 495, 6Th Phase, Kphb Colony,Kukatpally, Hyderabad-500072","Few Left, Book Now",Private,9525791176,Gujarat
Anupama Maternity & Nursing Home,"1/18, Jaykar Smruti,Aarey Road, Goregaon West.",Unknown,Government,9070479069,Bihar
Anupama Surgical & Children Hospital,"47-9-21, Dwarakanagar, Visakha Patnam",Limited Seats,Municipal,9923399178,Andhra Pradesh
Anuradha Hospital & Trauma Centre,"D-635 60 Fit Road,Ballabhgarh",Unknown,Government,9663739176,Bihar
Anuradha Nursing Home,"1St Cross, Raghavendra Extension, Thirthahalli.",Unknown,Government,9152323312,Sikkim
Anurag Nursing Home,"60/181,Heerapath,Mansarower",Unknown,Government,9323369797,Telangana
Anusha Hospital,"12-2-454,Gudi Malkapur,Mehdipatnam",Limited Seats,Municipal,9320016518,Delhi
Anvitha Hospital,"8-3-23A/A/516,517,A-Block Sri Keishna Nagar,Yousufguda",Unknown,Government,9419472061,Telangana
Anwar Memorial Hospital,"Santhosh Lane, Aluva,Ernakulam Dist.",Unknown,Government,9822260283,Puducherry
Aparna Hospital,"450-D,Palaghat Main Road,Kuniamuthu",Unknown,Government,9205662543,Delhi
Aparna Hospitals Pvt Ltd,"#2-5-680,Subedari,Hanamkonda",Unknown,Government,9416995815,Haryana
Apex Citi Hospital (A Unit Of Siddhartha Healthcare Pvt Ltd.),"D-440, West Vinod Nagar, Hanuman Road, I.P. Extension, Delhi-110092, Near Punjab National Bank","Few Left, Book Now",Private,9219972277,Punjab
Apex Hospital,"Scf-43,44,Ph 3B-2",Unknown,Government,9232166565,Tripura
Apex Hospital,"75-6-23, Prakash Nagar,East Godavari, Rajamundry.",Unknown,Government,9870455959,Punjab
Apex Hospital,"Opp Ganesh Maidan, Bidar, Karnataka",Unknown,Government,9921029503,Karnataka
Apex Hospital,"#34,Tagore Nagar,Gwalior",Unknown,Government,9029025108,Rajasthan
Apex Hospital,"A-Wing, Vaishali Heights, Chandavarkar Road, Borivali (W), Mumbai-400092","Few Left, Book Now",Private,9984845961,Punjab
Apex Hospital,"Gupte Road, Opp.Shivsena Shakha",Unknown,Government,9820021173,Tripura
Apex Hospital,"Parnaka, Shivtirth, Apt. Ground Floor, Kalyan, Thane, Maharashtra.","Few Left, Book Now",Private,9469255336,Maharashtra
Apex Hospital & Trauma Centre,"Plot No 5, Sector 6, Dharuhera, Rewari, Haryana",Unknown,Government,9002260471,Haryana
Apex Hospital (P) Ltd,"Sp 4 & 6 , Mia, Malviya Nagar ,Industrial Area, Jaipur",Limited Seats,Municipal,9002146903,Manipur
Apex Hospital (Steel City Critical Care Pvt Ltd),"16-1-5, Coastal Battery Road, Maharanipeta",Unknown,Government,9346865585,Meghalaya
Apex Institute Of Medical Sciences.,"1219, Survey Park, Santoshpur, Kolkata-700075. Hi-Land Park, Big Bazar",Available,Government,9705755374,Nagaland
Apex Kidney Care Pvt Ltd,"101, Eden Rose Shopping Complex,Opp. Cinemax Multiplex,Beverly Park, Mira Road (E),Thane","Few Left, Book Now",Private,9270818523,Uttarakhand
Apex Kidney Care Pvt Ltd,"''Gaurav Plaza, Annex, R.R.T. Road, Mulund (W), Mumbai","Few Left, Book Now",Private,9162115017,Maharashtra
Apex Kidney Care Pvt Ltd,"C/O. Sushrut Hospital, 2Nd Fllor, Swastik Park, Near Kach Gujar Hall, Chembur (E). Mumbai","Few Left, Book Now",Private,9755408065,Himachal Pradesh
Apex Kidney Care Pvt Ltd,"Abhishek Commericial Complex, 3Rd Floor S.V. Road, Malad, Near Aditi Hotel, Mumbai, Maharashtra.","Few Left, Book Now",Private,9336791566,Maharashtra
Apex Research Centre & Hospital Pvt Ltd,"116-117, Sindhi Colony, Berasia Road,",Unknown,Government,9775642187,Meghalaya
Apex Welcare Pvt Ltd ( Apex Hosptial),"Near Dlw & Hydil, Varanasi-221004",Limited Seats,Municipal,9383341097,Punjab
Apollo B.G.S Hospitals,Adichunchanagiri Roadkuvempunagar Road,Unknown,Government,9482689574,Kerala
Apollo Emergency & Clinic,16-2-705/5/5Malakpet,Unknown,Government,9465016403,West Bengal
Apollo Emergency & Clinic,"Opp Sai Baba Temple, Bhagyanagar Colony,Kukkatpally Housing Board",Unknown,Government,9483952895,Haryana
Apollo Emergency & Clinic,"Mehdipatnam, Meeraj Complex, Hyderabad-500028","Few Left, Book Now",Private,9086044914,Madhya Pradesh
Apollo Emergency Hospital,"3-5-836 Hyderguda, Hyderabad 500029","Few Left, Book Now",Private,9436045872,Assam
Apollo First Med Hospitals,"No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000","Few Left, Book Now",Private,9065044321,Andhra Pradesh
Apollo Gleneagles Hospitals Ltd.,"58, Canal Circular Road,Kolkatta-700054",Unknown,Government,9344477619,Punjab
Apollo Hospital,"Vikrampuri Colony, Rajivi Gandhi Marg, Kharkhana.",Unknown,Government,9466491148,Haryana
Apollo Hospital ( T.H.Road-Chennai),"#645, T.H.Road, Tondiarpet",Unknown,Government,9395924734,Haryana
Apollo Hospital (Kakinada),"13-1-3, Main Road, Kakinada - 533001",Unknown,Government,9662141570,Delhi
Apollo Hospital International Ltd,"Plot No.1A, Gidc Estate-Bhat, Gandhinagar-382428",Unknown,Government,9024343511,Meghalaya
