Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact
Chandini Hospital,"Chamarajpet,Sagarshivamogga",Unknown,Unknown,9847943862
Chandna Medical Centre,"85 & 52, Sector Iba, Near New Subzi Mandi.",Unknown,Unknown,9858881583
Chandni Hospital,"Kshitij Map 23, Mahavir Nagar.",Unknown,Unknown,9588998909
Chandni Hospital,"9/60, Arya Nagar.",Unknown,Unknown,9733212887
Chandra Bhushan Hosptial,"Opposite Mahamandir Railway Station, Mandore Road",Unknown,Unknown,9354159859
Chandra Hospital,"# 10, Pillayarpalayam Road",Unknown,Unknown,9484916945
Chandra Laxmi Hospital,"Sector-4, Plot # 337, Vaishali",Unknown,Unknown,9977693591
Chandra Mohan'S Nursing Home,"14-2A,C.T.M. Road,Beside Icici Bank Madanapalle",Unknown,Unknown,9233209860
Chandra Mother & Eye Care,"4/43,Vivek Khand,Gomti Nagar",Unknown,Unknown,9156427472
Chandrakala Hospital And Institute Of Medical Research,"Plot A,Kalidasa Road,Jayalakshmipuram",Unknown,Unknown,9103751407
Chandraleela Hospital,"P13, Vijay Vihar, Uttam Nagar. New Delhi-59Uttam Nagar","Few Left, Book Now",Private,9222175421
Chandralok Hospital,Pilibhit Bypass Road Barelly U P 243006,Unknown,Unknown,9048419881
Chandralok Hospital,"Chaitraban Apt.,Chandrika Society,Bibawewadi Road",Unknown,Unknown,9229595142
Chandramani Hospital,"Girdhar Nagar, Shahibag",Unknown,Unknown,9265794703
Chandramathy Amma Memorial Hospital,"Olarikkara Pullazhi Post, Thirssur, Kerala",Unknown,Unknown,9100622079
Chandravati Child & Maternity Hospital,"House # 1177, Sector-19, Opp Sai Baba Mandir",Unknown,Unknown,9368335813
Chandulal Chandrakar Memorial Hospital,"G.E. Road, Nehmnagar, Bhilak C.G,",Unknown,Unknown,9679734724
Channan Devi Memorial Hospital,"Plot No 952, Ward No 23, Lal Chand Colony Chwok, Near Durga Mandir Rohtak-124001, Haryana",Unknown,Unknown,9778400158
Chanre Rheumatology & Immunology Centre & Research (A Unit Of Chanre Darsha Health Care Pvt Ltd),"#149,15Th Main,3D Stage,4Th Block,Nhc Layout,Basaveshwar Nagar,",Unknown,Unknown,9821288862
Chaphekar Iccu & Diabetes Hospital,"Ashok Nagar, Ambadi Road(Opp) Bhaji Market, Vasai Road",Unknown,Government,9765208103
Charak Clinic Nursing Home,"Laud Mansion,4Th Floor, 21,M Karvi Roadm.Karve Road,Opp.Charni Road",Unknown,Unknown,9112023202
Charak Clinics,"Scf-85,First Floor,Phase #7,",Unknown,Unknown,9467784302
Charak Hospital & Research Centre,"Old Navbharat Press Building, Jehengirabad.",Unknown,Unknown,9312765676
Charak Hospital Pvt Ltd,"Ranisati Gate, Yeshwant Niwas Road.Y.N.Road,",Unknown,Unknown,9367317401
Charaka Hospital,"No-5, Opp-Neps, 2Nd Main, Shankarapuram, B.H Road, Tumkur-572102",Unknown,Unknown,9241686965
Charithasri Hospitals Ltd,"Ramachandra Rao Road,29/6/8-1,Vijayawada.Ramachandrarao Road",Unknown,Unknown,9260931130
Charnock Hospitals Pvt Ltd,"Megacity Approach Road,24 Oarganas.",Unknown,Unknown,9942490321
Charring Cross Nursing Home (P) Ltd.,"2C. Motilal Basak Lane, Kolkata-700054, Kankurgachi, Subash Mala Parkkolkata",Available,Government,9591716785
Chattisgarh Hosptial Medical Research Centre & Institute,"Central Avenue, Choubey Colony.",Unknown,Unknown,9994154891
Chaudhary Eye Centre & Laser Vision,"4802/24, Bharat Ram Road,Darya Ganj,24, Darya Ganj,",Unknown,Unknown,9253174547
Chaudhry Medical & Maternity Hospital,"# 1543-44, Sector-13, Urban Estate Opp Pani Ki Tanki, Karnal-132001",Unknown,Unknown,9910788321
Chawla Nursing Home & Hospital,"# 1&2, Phase 7, Mohali-160055.",Unknown,Unknown,9897329056
Chaya Hospital ( A Unit Of Chaya Healthcare Pvt Ltd),"# 6C-335, 4Th Main, 6Th Cross, Ombr Layout, Bhuvanagiri.",Unknown,Unknown,9306001355
Chazhikattu Hospitals Pvt Ltd,"Ix/139 A,River View Road,Thodupuzha, Idukki",Unknown,Unknown,9191858517
Cheema Medical Complex,"Phase-4,Near Telephone Exchange, Mohalinear Telephone Exchange",Unknown,Unknown,9816598899
Chelsa Medical Care (P) Ltd.,"Kungallummoodu,Karamanatrivadrum",Unknown,Unknown,9576576270
Chennai Eye Care Hospital,"#6,12Th Cross Street,Dhandeeswaran Nagar,Velachery",Unknown,Unknown,9854633618
Chennai Krishna Hospital,"No.297, Gst Road, Near Mit Flyover, Chromepet, Chennai, Tamilnadu","Few Left, Book Now",Private,9699889339
Chennai Meenakshi Multispeciality Hospital Ltd.,"# 148, Luz Church Road, Malapore, Chennai, Tamilnadu.","Few Left, Book Now",Private,9423200472
Chetana Hospital,M.T. Road Puttur,Unknown,Unknown,9016820138
Chethana Hospital,Shree Mahamaya Temple Road Dakshina Kannada,Unknown,Unknown,9688957410
Chettinad Super Speciality Hospital (Cssh)-(A Unit Of Rajah Muthiah Charitable And Educational Trust),"I.T. Highway,Kelambakkam",Unknown,Unknown,9595457989
Chhabda Hospital,"Plot No 5-6-19, New Osmanpura, Opp Sant Eknath Rang Mandir",Unknown,Unknown,9217309622
Chhabra Hospital Panipat,"A-1,Narain Singh Park,Assandh Road",Unknown,Unknown,9768201917
Chikitsa Nursing Home,"B-4, Saket",Unknown,Unknown,9760457807
Child Jesus Hospital,"P Box No 17, Cantonment, Tiruchirappalli, Trichy-620001Near To All India Radio Station",Unknown,Unknown,9112789391
Childerns Hospital,"Swastik Vihar Pharse - 1 Mdc, Sector - 5 Panchkula-134109",Unknown,Unknown,9280386184
Childrens Hospital,"6-11-58/59, 11Th Lane, 2Nd Cross, Arundelpet.",Unknown,Unknown,9835671623
Chincholi Eye Hospital,Old Jewargi Cross Road,Unknown,Unknown,9526542369
Chinmay Nursing Home,"#103/104,Odyssey-A,Bhakti Park,Wadala East",Unknown,Unknown,9025703727
Chinmaya Mission Hospital,"1/1,C M H Road,Indiranagar",Unknown,Unknown,9228932749
Chinmaya Narayana Hrudayalaya,Cmh Road Indiranagar 2Nd Stage Chinmaya Missin Hospital,Unknown,Unknown,9146232439
Chinmayi Hospital,"#34,Brindavan Layout,Subramanyapura Main Road",Unknown,Unknown,9517502051
Chinmayi Hospital,"Church Road, Kundapura, Udupi-576201",Unknown,Unknown,9567565012
Chintamani Hospital,"Plot # 53,Jedhe Nagar,Bibwewadi",Unknown,Unknown,9213405510
Chintan Orthopaedic Hospital,"#16,Anuradha Society,Jivraj Park Cross Road",Unknown,Unknown,9415212262
Chirag Hospital,"Main Bajghera Road,3636/31,Rajindra Park,",Unknown,Unknown,9470994074
Chiranjeev Hospital,"Anand Karad Road, Markand,Chiplun, Ratnagiri-415605.",Unknown,Unknown,9431860977
Chiranjeevi Hospital,"101&102,Padmaraj Bldg,Dr.Rajendra Prasad Road,Shivmandir Cross Road,Ramnagar,Dombivali East,Thane","Few Left, Book Now",Private,9633611848
Chiranjeevi Hospital & Maternity Home,"16Th 2Nd Main, Sri Manjunatha Temple St, Mysore Bank Colony,",Available,Government,9708219865
Chiranjeevi Maternity Hospital,Divatageri Galli Near Rayar Math,Unknown,Unknown,9437358761
Chiranjiv Hospital & Maternity Home,"Wng,Haily Mandi",Unknown,Unknown,9215616367
Chirashree Nursing Home,"1-33/2 & 1-33/3, Iddya Suratkal",Limited Seats,Municipal,9072586092
Chirayu Health & Medicare (P) Ltd,"#6, Malipurle,Behind Sadar Marzil",Unknown,Unknown,9655429675
Chirayu Superspeciality Hospital,"Ground Floor,Vimal Deep Building,Sarvoday Paraside Complax Behind Balaji Hos Mira Bhy Road,Bhayandar East,Thane","Few Left, Book Now",Private,9369391053
Chitra Hospital,"25/1A, Irwin Rdmysore",Available,Government,9990857640
Chitra Kalyana Raman Nursing Home,"56,A/1,Rajaji Road",Unknown,Unknown,9123441208
Chitrakut Surgical Hospital,"734/4888 , Bapunagar ,Near Pattelvadi ,",Unknown,Unknown,9349423158
Chitras Ent Laser Surgery Super Speciality Hospital,"30C, Cathedral Garden Lane,Nungambakkam.",Unknown,Unknown,9374308384
Chittaragi Hospital,Bramanand Asram Road Bus Stand Road Rabkavi,Unknown,Unknown,9483637673
Chobe Maternity & Nursing Home,"Opp Chetna Nagar,Marathwada",Unknown,Unknown,9387431759
Chopda Medicare & Research Centre Pvt.Ltd,"Patil Lane - 1,Nashik, Maharashtra",Limited Seats,Municipal,9854095171
Chopda Medicare & Research Centre Pvt Ltd,Patil Lane No 1 Canada Corner Nashik 422005,Limited Seats,Municipal,9167026061
Chord Road Hospital Pvt Ltd,100 Bima Jyoti Lic Colony2Nd Stage West Of Chord Road,Unknown,Unknown,9202592434
Choudhari Hospital,"Shikharakhana Road, Near Lic Office",Unknown,Unknown,9634889851
Choudhary Ent Maternity & General Health Care Centre,"Near State Bank Of India Katra-Khazana,",Unknown,Unknown,9994885896
Chougala Hospital,"Shanti Nagar,Hallyal Road,Athani,",Unknown,Unknown,9157389379
Christian Hospital,"Vaigai Dam Road, Periyakulam,Perivakulam- 625 601",Unknown,Unknown,9808385627
Christian Medical College & Hospital,"Brown Road,",Unknown,Unknown,9079821359
Christian Mission Hospital,Pandalam,Unknown,Unknown,9625908099
Christos Hospital,"Xxiv/228,Kayamlukam,Kpac Junction",Unknown,Unknown,9692553101
Christudas Orthopaedic Speciality Hospital,"#9.Duraiswamy Ngr. I.A.F. Road, Tamilnadu Chennai 59","Few Left, Book Now",Private,9101663417
Ciigma Institute & Medical Sciences Pvt Ltd,"#8,Raghuveer Nagar,Jalna Road,Opp Sfs High School",Unknown,Unknown,9692768676
Cims Hospital Private Limited,Nr Shukan Mall Off Science City Road Sola Shukan Mall,Unknown,Unknown,9274632438
Citi Hospital,"25/91,West Of Chord Road, 20Th Main, 2Nd Block, Rajajinagar, Bangalore","Few Left, Book Now",Private,9177099797
Citi Hospital,"No.52/A, Dam Road,Hospet, Bellary-583203",Unknown,Unknown,9958415732
Citi Hospital,"#115-Zone Ii,Maharana Pratap Nagar,",Unknown,Unknown,9578101308
City Cancer Centre,"No.33-25-33,Ch.Venkata Krishnaiah Street,Suryaraopet,Krishna,Vijayawada",Unknown,Unknown,9890987482
City Care Hospital,"Sco No 24 Huda Shopping Complex, Sector 4 Rewari Haryana",Unknown,Unknown,9105249071
City Central Hospital Pvt Ltd,"# 17, Akkamahadevi Road,Near Chethana Hotel",Unknown,Unknown,9436288285
City Clinic,"Madhavpur, Hubli",Unknown,Unknown,9914680874
City Eye Foundation,"17/255,Pavamani Road,",Unknown,Unknown,9080338179
City Heart Hospital ( Unit Of Rajgarh Polyclinic & Nursing Home ),"Rajgarh Road, Gawahati, Kamrup, Assam",Unknown,Unknown,9671987611
City Hospital,"1533/21, Chunnipura, Saini School Road, Rohtak, Haryana, Opp. Saini Girls High School.",Unknown,Unknown,9768184391
City Hospital,"#45,Model Colony,Sri Ganganagar",Unknown,Unknown,9656659912
City Hospital,Super Complex Ranipur More Haridwaruk,Unknown,Unknown,9614997075
City Hospital,"R.M.R. Road, Durgigudi,Shimoga-577201.",Unknown,Unknown,9590299571
City Hospital,"#87,Rkv Road,Near Chennai Silks","Few Left, Book Now",Private,9262422811
City Hospital,"106, G/8A, Palai Main Road (W)Millerpuram Corner,",Unknown,Unknown,9230240305
City Hospital,"1708 E, 8Th Lane, Rajarampuri",Unknown,Unknown,9892538774
City Hospital,"Old Employment Chowk,'B'Wing City Pride Building Vip Road",Unknown,Unknown,9895955142
City Hospital & Diagnostic Centre,"Vidyaranya Mag,Behind Alankar Theatreudupi",Unknown,Unknown,9960715895
City Hospital & Maternity Home,"Sector-16, Faridabad,Haryana-121002","Few Left, Book Now",Private,9267631299
City Hospital & Research Centre,"A.T. Road, Near Timkonia Dukmari, Timsukia, Assam-786125",Unknown,Unknown,9731510748
City Hospital & Research Centre,"Jail Road, Bohadapur, Gwalior, Madhya Pradesh.",Unknown,Unknown,9667536934
City Hospital Pavalam Trauma Centre,4/361 Gandhiji Nagar Trichy Road,Unknown,Unknown,9349107327
City Hospital Pvt Ltd,"Post Box #3525,M.G Road Ernakulam",Unknown,Unknown,9464000715
City Hospital Research & Diagnostic Centre,"Pound Garden,Kadri,Dakshina Kannada,",Unknown,Unknown,9476524755
City Hospital& Trauma Centre,"C-1, Cinder Dump Complex.Opp Krishna Cinema Hall",Unknown,Unknown,9229312512
City Medical Centre,"Badila Guthu Complex1St Main, M.C.C.B Block",Unknown,Unknown,9289174540
Citycare Hospital & Research Centre Pvt Ltd,"Near Nasardi Bridge,Nasik Poona Road,Dwarka",Unknown,Unknown,9489372151
Clear Vision Eye Centre,"1-A, Ashoka, 15 Sv Road, St.Theresa'S Convent Schoolsantacruz(W)",Unknown,Unknown,9421412922
Clear Vision Eye Hospital,"3-6-272, Nvk Towers, Opp Telugu Academy Himayathnagar, Hyderabad-500029Quarters Road, Hyderabad.","Few Left, Book Now",Private,9890993097
Clinic Nallam,"86,Eswaran Koil Street",Unknown,Unknown,9429221676
Cloudnine (A Venture Of Kids Clinic Pvt Ltd,"#1533,9Th Main, Jayanagar 3Rd Block",Unknown,Unknown,9378584827
Cloudnine (Kids Clinic India Pvt. Ltd.),"115, Kodi Halli, Old Airport Road, Bangalore-560017","Few Left, Book Now",Private,9305689479
Cnr Nursing Home,"4/6,Gandhi Road,Proddatur",Unknown,Unknown,9971906080
Coastal Cardiac And Maternity Centre,Danavaipeta Park Beside Hdfc Bank East Godavari,Unknown,Unknown,9481603239
Coastal Care Hospital,"8Th, Line, Old Club Road, Gunturivarithota, Kothapet, Guntur-522001, Opp Bus Stand, Old Club Road",Unknown,Unknown,9036548682
Cochin Hospital,Mg Road,Unknown,Unknown,9122296183
Coimbatore Bone And Joint Foundation Pvt Ltd,"#1091-Mettupalayam Road,North Coimbatore Bus Stop,R.S.Puram",Available,Government,9338998738
Coimbatore Kidney Centre,"738-B, Puliakulam Road, Coimbatore, Tamilnadu",Available,Government,9365099366
Colaco Hospital,"Lower Bendore Main Road,Dakshina Kannada,",Unknown,Unknown,9456465588
Columbia Asia Hospital,"Ib,193,Sector. 3, Salt Lake, Kolkata-700091",Available,Government,9280211646
Columbia Asia Hospital,"85-86,Bangalore Mysore Ring Road, Junction, Bannimantap A Layout, Siddiqui Nagar","Few Left, Book Now",Private,9164813034
Columbia Asia Hospital Palamvihar,"Block F, Near Gol Chakkar, Sector 23 , Palam Vihar, Gurgaon-122017","Few Left, Book Now",Private,9908033592
Columbia Asia Hospital Pvt Ltd,"Kirloskar Business Park, Bellary Road, Hebbal, Bangalore-560024","Few Left, Book Now",Private,9832588559
Columbia Asia Hospital Pvt Ltd-Patiala,"#22, Bhupindra Road, Patiala-147001",Unknown,Unknown,9654367518
Columbia Asia Hospital Pvt.Ltd-Ghaziabad,"Nh-24, Hapur Road, Opp.Bhameta Village Near Land Craft Golf Links, Ghaziabad, Uttar Praesh","Few Left, Book Now",Private,9697163153
Columbia Asia Referral Hospital,"#26/1, 80Feet Dr.Rajkumar Road,Malleshwaran West, Bangalore-560055","Few Left, Book Now",Private,9404863951
Columbia Hospital And Research Centre-Nagpur,"Dr. N.B. Khare Marg, Dhantoli, Nagpur, Maharashtra",Limited Seats,Municipal,9299090478
Combined Medical Institute (P) Ltd,"54, Harawar Road Dehradun-248001",Available,Government,9545267054
Comtrust Eye Hospital,"Mini Bye Pass Road, Puthiyara (Post), Calicut-673004, Kerala State",Unknown,Unknown,9922769359
Convenient Hospital Ltd,"Ab Road, Near Lig Tringnee, Indorenear L.I.G. Square,",Available,Government,9084501965
Cosmo Medicals Pvt Ltd,"#8,Phase Viii Sector-62,",Unknown,Unknown,9435383209
Cosmo Multispeciality Hospital,"#64,1St Cross,Kalidasa Circle,Srinagar",Unknown,Unknown,9427457595
Cosmopolitan Hospitals (P) Ltd,"Maurinanjapalam,Pattom",Unknown,Unknown,9963179176
Cradle Calicut Maternity Care Pvt Ltd,"Nh-17, By Pass Road Airport By Pass Road",Unknown,Unknown,9530708740
Crescent Hospitals,"37/1,Sivaganga Road,Opp To Aavin Milk Project",Unknown,Unknown,9173620485
Crescent India Medical Education Trust'S Inamdar Hospital,"Survey, No:- 15, Fatimanagar, Pune","Few Left, Book Now",Private,9555587281
Crescent Nursing Home & Iccu,"Near Lokmat Square, Dhantoli,1St Lane,1St Lane, Nagpur-440012.",Limited Seats,Municipal,9800943267
Criticare Hospital For Children,"Citycentre,Opp Sindhi Colony,Jail Road",Unknown,Unknown,9583872311
Criticare Superspeciality Hospital,"Between Hotel Royal Challenge & Cadbury Co.Ltd, E.E. Highway, Thane West.","Few Left, Book Now",Private,9729945919
Crystal Eye Centre,"101, Crystal Residency Dockyard Road, Mazagaon",Unknown,Unknown,9914009018
Csi Hospital,No.21.Hospital Roadkanchipuram,Unknown,Unknown,9694621074
Csi-Church Of South India Hospital,"Post Beg No #4, Hazarat Kambal Posh Roadposh Road,",Unknown,Unknown,9210142453
Csr Nursing Home,"# 272, 7Th Street Extension,Gandhipuram, Coimbatore-641012",Available,Government,9929734607
Cumballa Hill Hospital,"93-95, August Kranti Marg",Unknown,Unknown,9981130448
Cure Emergency Hospital,"11-2-91/A, Balajinagar, N.S.T Road, Khammam, Andhrapradesh-507001Balajinagar",Unknown,Unknown,9868131667
Cure Hospitals,"Plot # 3,Ganesh Nagar Colony,Opp Smt Sarojini Pulla Reddy House,Hasmathpet Road,Bowenpallh",Unknown,Unknown,9134274424
Cure Well Hospital,"1/53-Sfs,Mansarower",Unknown,Unknown,9198750545
Cure Well Hospital,"15-1-46, Srinivasa Colony Opp Mgm Hospital",Unknown,Unknown,9639970064
Cure-Well Nursing Home,Town Hall Road,Unknown,Unknown,9821780870
Curewell Hospital Pvt. Ltd.,"19/1-C,New Palasia, Indore",Available,Government,9525101168
Curie City Cancer Centre,"Padavalarevu,Gunadala,Krishna",Unknown,Unknown,9370081656
Curie Manavata Cancer Centre,"Mumbai Naka,Opp Mahamarg Bus Stand","Few Left, Book Now",Private,9757971034
Cuttack Nursing Home,"Markamal Patna,Mangalabag,",Limited Seats,Municipal,9190876937
Cygnus Maharaja Arrarsain Hospital,"Opp Devi Mandir, Panipat ,Haryana",Unknown,Unknown,9063301266
D D Eye Institute,#631 Dadabari Main Road Near Cad Circle,Unknown,Unknown,9334212755
D'Souza Hospital,"Ramedi Dhowali Vasai, Thane-401201","Few Left, Book Now",Private,9246102722
D'Souza Nursing Home,"Opp. Min Gate Ranital Gardens,Nahannahan",Unknown,Unknown,9737248292
D.G. Hospital (Devambika Nursing Home),"274 / 275, Mkp Road, Padmanabhanagar, Puttalingaiah Road, Bangalore-560070","Few Left, Book Now",Private,9121663732
D.N. Hospital,"Khanna Road, Krishanpura, Panipat, Haryana",Unknown,Unknown,9625572953
D.S.K. Hospital,"# 19, Kadirnagar, Kangeyam Road, Tirupur.",Unknown,Unknown,9708578968
D.S.Kothari Hospital,"Kamala Kutir, Kastirba Chowk,C.P.Tank",Unknown,Unknown,9288437675
Dada Laser Eye Institute,"Chaudhari Plaza 1St Floor# 185, M.G. Road,Campchaudhari Plaza, Pune-411001.","Few Left, Book Now",Private,9586471070
Daddenavar Hospital & Research Centre,Ward # 10 & Rural Police Stationnear Rural Police Station,Unknown,Unknown,9598121937
Dafodil Nursing Home(P),"# 276 Canal Street,",Unknown,Unknown,9839282743
Dahiya Hospital,"Near Iti Chowk, Old Dc Road, Sonepat, Haryana",Unknown,Unknown,9548257855
Dake Hospital,"1St Floor, Suwellar Complex, Uran Karanja Road",Unknown,Unknown,9374130448
Daksh Hospital,"#397,Gandhi Nagar,Sch,No 8,Alwar(Rajashtan-301001)",Unknown,Unknown,9553054895
Dakshata Hospital Pvt Ltd,"3375,Subalakshmi Building,College Road",Unknown,Unknown,9821971105
Dange Hospital,"M.G. Road, Near Adichundhangiri School, Hassan-573201",Unknown,Unknown,9680631090
Darekar Hospital,"Perne Phata,Poona Nagar Road,Tal Haveli",Unknown,Unknown,9018208476
Darshan Eye Care Clinic (Savjiani Medico (P) Ltd),"2Nd Floor, Parishram Plaza,Mangla Main Roadmangla Main Road, Rajkot.",Limited Seats,Municipal,9912863964
Darshan Surgical Centre Llp,"Block T-80, New No-24 5Th Main Road",Unknown,Unknown,9352382752
Dashputra Hospital,"358, Anandnager, Opp, Sankkara Police Station Nagpur-440009",Limited Seats,Municipal,9107616371
Datar Nursing Home,"33/34, Morumal Mansion, Opp Bachani Nagar,Off Daftary Road, Malad East.",Unknown,Government,9282909584
Datt Maternity & Surgical Home,"23, Jawahar Nagar 1Stfloor,S.V. Road",Unknown,Unknown,9542317131
Datta Prasad Orthopaedic Nursing Home,"D.No#14-8-38.Netajinagar, 2Nd Lane,Ponnur.",Unknown,Unknown,9114213553
Dattatreya Nursing Home,"Opp Bhandhutva Chs, Datta Mandir Road,Near Vakola Bridge,Santacruz East",Unknown,Unknown,9481944958
Davangere Heart Hospital (Unit Of Suraj Hospital Pvt Ltd),"3639,M.C.Colony 9Th Main",Unknown,Unknown,9339915059
Dave Orthopaedic Hospital,"Opp S.T. Bus Station,",Unknown,Unknown,9369345778
Dawar Eye Hospital,"Meera Chowk,Jawahar Nagar,Sri Gnga Nagar",Unknown,Unknown,9630268547
Daya Hospital,"A-4/16,Paschim Vihar,New Delhi","Few Left, Book Now",Private,9937252043
Dayanand Medical College Hospital,"Civil Lines, Tagore Nagar, Ludhiana-141001",Unknown,Unknown,9685424858
Dayanand Nursing Home,"47/L-4, Jawahar Quarters Begum Bridge Road",Unknown,Unknown,9755240250
Dbr & Sk Super Speciality Hospital,"No.18-1-505,Mosque Road,Opp.V.V.Mahal Theatre,Chitoor,",Unknown,Unknown,9185716201
Ddmm Heart Instituti,"Mission Road,Nadiad",Unknown,Unknown,9509611693
Debipur Netralaya Pvt Ltd,"Near Kristi Cinema Hall,Memari, Burdwan",Unknown,Unknown,9247023669
Deccan Hospital,"Opp Ksrtc Depot, Ashwini Extension, Chintamani, Chikballapura-563125",Unknown,Unknown,9435266970
Deccan Medical Centre Pvt Ltd,"Goods Shed Road, Near Railway Station",Unknown,Unknown,9115238912
Deeksha Hospital,#387/347 Bb Road Nehrunagar Yelahanka Old Town Next To Post Office,Unknown,Unknown,9785032509
Deendayal Memorial Hospital,"# 926, .C. Road, Shivajinagar, Adjucent To Tukaram Pauka Chowk.",Unknown,Unknown,9162401333
Deep Hospital,Opp Punjabi University,Unknown,Unknown,9785619540
Deep Hospital,"Hig-33, Shivajinagar",Unknown,Unknown,9085293676
Deep Hospital & Research Centre,"Khatipura Road,Satya Nagar Mode Jhotwara,",Unknown,Unknown,9645568538
Deep Intensive And Critical Care,"B/4, Maharani Shool, Near Sursagar, Raopura",Unknown,Unknown,9429671838
Deep Medical Center,"Site No 1, Sector - 16A Mkt Road,Faridabad","Few Left, Book Now",Private,9084640629
Deep Nursing Home,College Road,Unknown,Unknown,9190991363
Deep Nursing Home,Collage Road Barnala-148101,Unknown,Unknown,9370447080
Deep Nursing Home,"Kalyan Road, Ashok Nagar, Bhiwandi, Thane.","Few Left, Book Now",Private,9491777078
Deep Nursing Home & Children Hospital,"481-R,Model Town",Unknown,Unknown,9425009394
Deepa Hospital,"# 27,Old Madra Road K.R. Puram Ext Bangalore","Few Left, Book Now",Private,9249652294
Deepa Hospital (Tsunami Project Only),"Karuvatta Post, Haripad, Alappuzha",Unknown,Unknown,9482890950
Deepa Kannan Hospital,"# 33,Muthunagar,Karur",Unknown,Unknown,9400547109
Deepa Nursing Home,"Chikmanglur, Karnataka",Unknown,Unknown,9265886819
Deepa Nursing Home,"Kunnummal,Kanhangad",Unknown,Unknown,9411324778
Deepak Hospital,"259, 33Rd Cross, Kanakapura Main Road, 7Th Block, Jayanagar-560082",Unknown,Unknown,9022222527
Deepak Hospital,"Holy Complex,Near Sai Petrol Pump,Opp White House Hotel,Mira Bhayandar Mira Road East,Thane","Few Left, Book Now",Private,9927755304
Deepak Memorial & Medical Research Centre,"5, Institutional Area, Vikas Marg Ex Ii,Vikas Marg Ex 11,",Unknown,Unknown,9522451647
Deepak Nursing Home,"Plot No 84, (Dc)Saheed Nagar,",Unknown,Unknown,9625063763
Deepam Eye Hospital,"#72,Medavakkam,Tank Road,Kilpauk",Unknown,Unknown,9685119674
Deepam Hospital,"#327, Muthurangam Road,Tambaram(West),Kanchipuram,West Tambaram",Unknown,Unknown,9242842135
Deepam Hospital,"687, Trichy Road.",Unknown,Unknown,9125860057
Deepam Hospital,"#128,Ayya Gounder Street,Opp Police Station",Unknown,Unknown,9396238777
Deepam Hospital Ltd,"30, Ayyasamy Street,",Unknown,Unknown,9350826768
Deepam Hospital Ltd,"107-A, Gst Road, Chennai","Few Left, Book Now",Private,9659808514
Deepam Hosptial (Tsunami Project Only),"Kayamkulam, Kanaalloor North,Pattoli Market Post.",Unknown,Unknown,9631526288
Deepan Hospital,"Khasra 139-140, Najafgarh Raod, Kapashera.",Unknown,Unknown,9411262662
Deepashri Hospital (A Unit Of Cadms Trust),#86. 2Nd Main 16Th Cross Malagala Nagarabhavi 2Nd Stage Bangalore560072,"Few Left, Book Now",Private,9632482194
Deepika Eye Care Hospital,"1564/4D,Chengalpet Road",Unknown,Unknown,9992593729
Deepjyoti Hospital Pvt Ltd,"Crown Complex,Sharanpur Road, Opp Rajiv Gandhi Bhavan",Unknown,Unknown,9241133715
Deepshikha Orthopaedic Hospital,"P-Square, 1-C-19 (Sfs) Talwandi",Unknown,Unknown,9758116249
Deepthi Hospital,"31-A,Mohanur Road",Unknown,Unknown,9256726198
Deepthi Nursing Home,"Sbi Railway Road, Brindavanam, Psr",Unknown,Unknown,9027080727
Delhi Heart And Lung Institute,#3Mm Ii Panchkuian Road New Road-110055New Delhi,"Few Left, Book Now",Private,9269911050
Delhi Hospital & Maternity Home,"# 1151, Urban Estate, Jind,Haryana-126102",Unknown,Unknown,9518454768
Delhi Hospital & Nursing Home,"Rohtak Road,Bahadur Garh.",Unknown,Unknown,9776164382
Delhi Hospital & Temple Nursing Home,"#1, Ansari Road, Darya Ganj,New Delhi-110002.","Few Left, Book Now",Private,9303377523
Delhi Nursing Home,Bibiwala Road,Unknown,Unknown,9727764949
Deodhar Eye Hospital,"#39/25, Erandawane, Karve Rd,",Unknown,Unknown,9057794671
Deokate Hospital,Indapur Road,Unknown,Unknown,9219776178
Deoki Hospital,"Ahibaranpur,Sitapur Road,",Unknown,Unknown,9897121226
Deshmukh Hospital,"#17, Dr.Hedgewar Marg,Station Road,",Unknown,Unknown,9211637727
Deshpande Hospital,"Anandi Bazar, Patwardhan Chowk,Anandi Bazar",Unknown,Unknown,9359734353
Deshpande Hospital,"Parekh B Towers, Biaroba Nala, Fatimanagar",Unknown,Unknown,9949363809
Desun Hospital & Heart Institute,"Em By Pass,Kasba Gol Park",Unknown,Unknown,9636838589
Dev Eye Hospital,"#405,Pratham Mangal Complex,Opp Vasna Telephone Exchange,Vasna",Unknown,Unknown,9449849223
Dev Hospital Dev Seva Trust,"Kesariyaji Bus Stop, Vasna Jivraj Mehta Hosp. Road,Vasna Ahmedabad-380007","Few Left, Book Now",Private,9264596090
Dev Nandini Hospital,"Garh Road,Hapur",Unknown,Unknown,9521168700
Dev Nursing Home,"Shilpa Appartment, Ist Floor, Shankar Ghanekar Marg, Off Gokhale Road S), Dadar W-400028Shankar Ghanekar Marg,",Unknown,Unknown,9558506701
Deva Matha Hospital,"Koothattukulam, Ernakulam Distkerala",Unknown,Unknown,9989033136
Devadhar Nursing Home,"S.No. 901, Near Tapovan Mandir,Pimpri.",Unknown,Unknown,9034281726
Devadoss Multispeciality Hospital,"#75/1,Alagarkovil Main Roadsurveyor Colony,",Unknown,Unknown,9949297541
